@relation att_3b01bcb8_0b14_4abf_b6f2_c1bfd384ba69

@attribute state {Bihar,Chhattisgarh,Arunachal_Pradesh,Assam,Andhra_Pradesh,Delhi,Gujarat,Haryana,Karnataka,'Madhya Pradesh',Maharashtra,Kerala,Odisha,Punjab,Manipur,Rajasthan,TamilNadu,Telangana,Uttar_Pradesh,West_Bengal,Uttarakhand,Chandigarh,Mizoram,Nagaland,Puducherry,Tripura,Jharkhand,Jammu_and_Kashmir,Meghalaya,'Himachal Pradesh'}
@attribute city string
@attribute pollutant_min numeric
@attribute pollutant_max numeric
@attribute pollutant_avg numeric

@data
Telangana,Hyderabad,0.08333333333333333,0.046153846153846156,0.052
Telangana,Hyderabad,0.12121212121212122,0.13846153846153847,0.104
Rajasthan,Sikar,0.23484848484848486,0.20615384615384616,0.212
Rajasthan,Udaipur,0.15151515151515152,0.23384615384615384,0.224
TamilNadu,Nagapattinam,0.0,0.13538461538461538,0.116
Rajasthan,Kota,0.11363636363636363,0.14461538461538462,0.152
Uttar_Pradesh,Meerut,0.045454545454545456,0.09538461538461539,0.06
Uttar_Pradesh,Varanasi,0.0,0.0,0.0
Uttar_Pradesh,Noida,0.045454545454545456,0.16307692307692306,0.16
Uttar_Pradesh,Prayagraj,0.05303030303030303,0.033846153846153845,0.036
Uttar_Pradesh,Prayagraj,0.05303030303030303,0.036923076923076927,0.04
Uttar_Pradesh,'Greater Noida',0.05303030303030303,0.1476923076923077,0.136
Uttar_Pradesh,Agra,0.030303030303030304,0.11692307692307692,0.124
Uttar_Pradesh,Moradabad,0.12878787878787878,0.06461538461538462,0.08
Uttar_Pradesh,Khurja,0.022727272727272728,0.12615384615384614,0.016
Uttar_Pradesh,Kanpur,0.13636363636363635,0.06461538461538462,0.08
Uttar_Pradesh,Varanasi,0.09848484848484848,0.06153846153846154,0.068
West_Bengal,Durgapur,0.015151515151515152,0.6276923076923077,0.544
West_Bengal,Kolkata,0.06060606060606061,0.16615384615384615,0.112
Bihar,Motihari,0.07575757575757576,0.033846153846153845,0.044
Bihar,Munger,0.007575757575757576,0.027692307692307693,0.016
Bihar,Muzaffarpur,0.05303030303030303,0.052307692307692305,0.048
Chhattisgarh,Raipur,0.007575757575757576,0.015384615384615385,0.004
Bihar,Sasaram,0.007575757575757576,0.043076923076923075,0.032
Chandigarh,Chandigarh,0.015151515151515152,0.07384615384615385,0.056
Assam,Guwahati,0.015151515151515152,0.23076923076923078,0.088
Andhra_Pradesh,Tirupati,0.03787878787878788,0.11384615384615385,0.108
Bihar,Chhapra,0.0,0.003076923076923077,0.0
Bihar,Saharsa,0.06060606060606061,0.036923076923076927,0.036
Delhi,Delhi,0.007575757575757576,0.024615384615384615,0.016
Bihar,Kishanganj,0.13636363636363635,0.06461538461538462,0.072
Delhi,Delhi,0.11363636363636363,0.12,0.124
Delhi,Delhi,0.08333333333333333,0.15384615384615385,0.148
Jharkhand,Jorapokhar,0.045454545454545456,0.018461538461538463,0.024
Karnataka,Bengaluru,0.12878787878787878,0.07692307692307693,0.092
Haryana,Faridabad,0.12121212121212122,0.055384615384615386,0.068
Haryana,Gurugram,0.24242424242424243,0.2246153846153846,0.228
Gujarat,Vapi,0.007575757575757576,0.003076923076923077,0.004
Haryana,'Charkhi Dadri',0.09090909090909091,0.04923076923076923,0.06
Haryana,Rohtak,0.3333333333333333,0.16615384615384615,0.188
Jammu_and_Kashmir,Srinagar,0.007575757575757576,0.003076923076923077,0.004
Jharkhand,Dhanbad,0.045454545454545456,0.055384615384615386,0.056
